Jean-Pierre Mader	41bdbf62-dccc-431f-9760-aff55d7dd090	1955/6/21	null/null/null	Person	France	Male	null	null	null
Selim Palmgren	cf70e8e8-224b-4abe-b87b-9b4f096f4b7b	1878/2/16	1951/12/13	Person	Finland	Male	null	null	null
Michael Gore	132afd11-b826-4518-8cca-7bea6b65fd41	1951/3/5	null/null/null	Person	United States	Male	null	null	null
24K	e95fe3d4-7100-4593-a322-401842289dd9	null/null/null	null/null/null	Person	United States	Male	USA rap artist	null	null
Alex Gibson	df5d57fc-b7f6-4f3c-a9ac-1757fee57d1b	null/null/null	null/null/null	Person	United States	Male	null	null	null
J-Live	1c15deec-f162-48dd-a759-f79cc64f5382	null/null/null	null/null/null	Person	United States	Male	null	null	null
Sugar Minott	01d336ae-7f79-496d-94f9-211b57517b17	1956/5/25	2010/7/10	Person	Jamaica	Male	null	null	null
Bette Midler	ed333e8b-d18a-49fc-b361-4ec9731dfdba	1945/12/1	null/null/null	Person	United States	Female	null	null	null
Joie/Dead Blonde Girlfriend	333e71f2-6bf8-4c12-b943-957cae976f8e	null/null/null	null/null/null	Person	United States	Male	null	null	null
Juanita Juarez	0c01f961-1b82-455c-95ee-c04fc62b5065	null/null/null	null/null/null	Person	Czech Republic	Male	null	null	null
Napoleon Hill	12bd7669-21a7-487c-9d15-496991361f0f	1883/10/26	1970/11/8	Person	United States	Male	null	null	null
Armando Manzanero	3d7f753f-b261-4efc-9785-25c14204c0b1	1935/12/7	null/null/null	Person	Mexico	Male	null	null	null
Marcus Schössow	c6803c35-a30b-4fd2-8e4e-1e4aba58869c	null/null/null	null/null/null	Person	Sweden	Male	null	null	null
Markus Lange	138a7f89-0d15-4767-8e85-8d30d2e182c1	null/null/null	null/null/null	Person	Germany	Male	null	null	null
João Nogueira	bb89c03f-06c1-4b55-a8ab-a10c7a81dc96	1941/11/12	2000/6/5	Person	Brazil	Male	null	null	null
Jimmy Thackery	0f4f8699-6fbf-46c4-bfd3-92f4eaf5b691	1953/5/19	null/null/null	Person	United States	Male	null	null	null
Gerard Cox	8ade77b6-e6bf-4182-94f2-d60148f588ed	1940/3/6	null/null/null	Person	Netherlands	Male	null	null	null
Abe Duque	41175b89-aec0-4b17-a966-1d2f9bacb1be	null/null/null	null/null/null	Person	United States	Male	null	null	null
Teresa De Sio	0a5453bf-cf4e-45a3-8f87-08c8763a5884	1955/11/3	null/null/null	Person	Italy	Female	null	null	null
Beppe Gambetta	8c52746b-5697-48ba-906e-5c2cd732a5e5	null/null/null	null/null/null	Person	Italy	Male	null	80	1
Usha Uthup	8c71a37b-1b64-43e8-a24f-ada8db2f2d61	1947/11/8	null/null/null	Person	India	Female	null	null	null
Fish	7c687bbb-ba1a-496d-919a-f322530739e4	1958/4/25	null/null/null	Person	United Kingdom	Male	Derek William Dick, ex-Marillion frontman	80	1
Vents	57280678-cdc7-4e5a-a32f-1b8cc797dad6	null/null/null	null/null/null	Person	Australia	Male	null	null	null
山岡晃	23a32153-7314-4359-a5cd-9e584fe83504	1968/2/6	null/null/null	Person	Japan	Male	null	100	2
Animals on Wheels	9ee04395-b4b2-437c-bd9b-59816059476f	null/null/null	null/null/null	Person	United Kingdom	Male	null	null	null
Diplo	a56bd8f9-8ef8-4d63-89a4-794ed1360dd2	1978/11/10	null/null/null	Person	United States	Male	null	70	2
The Niro	4fc883a8-f021-4ee2-85ec-1f3649c3665d	null/null/null	null/null/null	Person	Italy	Male	null	null	null
L.E. Flaco	c8d20f16-753d-4992-82bb-9bd19401d41b	null/null/null	null/null/null	Person	Argentina	Male	null	null	null
Michael Giles	df54c3d8-9f86-47d9-8891-4d17d4bd7949	1942/3/1	null/null/null	Person	United Kingdom	Male	null	null	null
伊藤陽佑	d520252d-bb80-4697-8b57-7804b638d66c	1984/7/7	null/null/null	Person	Japan	Male	actor and singer	null	null
Casto	21741fff-f78a-4416-bd12-b803c9f37376	null/null/null	null/null/null	Person	Netherlands	Male	null	60	1
Joel Tammik	054963fe-f454-478f-a05b-3d649d0a8538	null/null/null	null/null/null	Person	Estonia	Male	null	null	null
Slim Thug	e0f5273c-637e-4e10-8304-81f2f9a31523	1980/9/8	null/null/null	Person	United States	Male	null	null	null
Kauko Käyhkö	b262370f-6a47-4193-ae69-e95d0cea94d8	1916/4/5	1983/4/8	Person	Finland	Male	null	null	null
Olivia Byington	57bbd5e1-3ee3-44f0-b0e8-612b79121b4a	1958/12/24	null/null/null	Person	Brazil	Female	null	null	null
Haralds Sīmanis	b804571f-1c23-4bc4-940d-07c8899cd433	1951/6/12	null/null/null	Person	Latvia	Male	null	null	null
Georg Ringsgwandl	fed6cee0-cd33-4cca-af67-55cf07dc9a8e	1948/11/15	null/null/null	Person	Germany	Male	null	100	1
Adriano Celentano	d2b50525-1111-4906-aab6-4553f035f679	1938/1/6	null/null/null	Person	Italy	Male	null	60	1
Beverley Knight	f50647d8-bf58-4d59-bebf-45407e6c7a13	1973/3/22	null/null/null	Person	United Kingdom	Female	null	null	null
Ian Hobson	4cfd7c4d-3b66-406e-993f-3c0cd59b2f74	1952/8/7	null/null/null	Person	United Kingdom	Male	null	null	null
Frederica von Stade	b688171b-a5c3-4392-aa2b-79c37707407e	1945/6/1	null/null/null	Person	United States	Female	null	null	null
Philip Bailey	f4b25300-be93-49bc-9d44-15f9de480f50	1951/5/8	null/null/null	Person	United States	Male	null	null	null
Gabriel Yacoub	9a2d0ee9-9be3-49ef-a5bf-9622e6ffcf0c	1952/2/4	null/null/null	Person	France	Male	null	null	null
John Foxx	6e913bad-4812-4286-b6cc-18548422f194	1947/9/26	null/null/null	Person	United Kingdom	Male	null	80	1
Mel Tormé	4439c2fd-a754-4f6a-b3a6-791b47726156	1925/9/13	1999/6/5	Person	United States	Male	null	100	1
Francisco Rotundo	4a2f0ace-47fa-4246-96a4-8d75fdeebaf6	1919/11/4	1997/9/26	Person	Argentina	Male	null	null	null
Sandy Farina	2a683d03-6f20-4e19-aca8-01d19f1ac7c3	1955/null/null	null/null/null	Person	United States	Female	null	null	null
Kaisa Korhonen	b4df7568-cb3e-42df-8a5d-fdd9d768f3c9	1941/null/null	null/null/null	Person	Finland	Female	null	null	null
Gottlieb Wendehals	74c56b4c-8c6a-4648-bb3f-93177a51fb1a	1941/6/5	null/null/null	Person	Germany	Male	null	null	null
dj TAKA	e434d298-fe00-4fc7-bfba-7fac8da9d6fe	null/null/null	null/null/null	Person	Japan	Male	null	null	null
Jack Frost	8fb3185c-2173-4e91-8582-7a37d42b710c	1968/7/4	null/null/null	Person	United States	Male	Heavy metal musician Jack Dempsey	null	null
小林由美子	ff0a225c-1539-479f-83d2-b0712be9a2b0	1979/6/18	null/null/null	Person	Japan	Female	null	null	null
Jyrki 69	c61e5007-0acc-409a-b7c9-b535bd20addb	1968/10/15	null/null/null	Person	Finland	Male	null	null	null
Charles Bradley	dc6d2ba1-012c-47a7-ba3f-d74e76c30d53	1948/null/null	null/null/null	Person	United States	Male	null	null	null
Linda Thompson	30792486-de7c-458a-873c-ca6931540a70	1947/8/23	null/null/null	Person	United Kingdom	Female	UK folk vocalist, ex-wife of Richard Thompson	null	null
Krystyna Giżowska	093f8461-9a6d-4f35-ab31-ab9c1c9f2d43	1954/11/19	null/null/null	Person	Poland	Female	null	null	null
Bon Scott	0d212894-db54-4cc1-9ded-3cac50183a1d	1946/7/9	1980/2/19	Person	United Kingdom	Male	null	null	null
Junko Onishi	94fa768d-84d2-4307-9fcc-fee237d7f37b	1967/4/16	null/null/null	Person	Japan	Female	null	null	null
Jennifer Hudson	95b5d5b5-46c4-4c3e-89d5-ffe9236427ac	1981/9/12	null/null/null	Person	United States	Female	null	null	null
Dave Ball	8e1b3b24-8a87-4a00-ab02-aad300d5895d	1959/5/3	null/null/null	Person	United Kingdom	Male	UK electronic musician, part of Soft Cell	null	null
Cliff Coenraad	36c58cf5-f8a6-4840-9623-a4b6eb5eba6a	null/null/null	null/null/null	Person	Netherlands	Male	null	null	null
Wallen	b2ad35e2-a906-4fe9-b305-b576f05e161c	1978/1/23	null/null/null	Person	France	Female	French R'n'B female singer	null	null
Barbra Streisand	56cd15a1-0d74-438b-8244-c96ffe1cae03	1942/4/24	null/null/null	Person	United States	Female	null	60	1
CIRCUIT.V.PANTHER	db4f1e18-779c-418e-acc5-25c496b359a6	1970/7/5	null/null/null	Person	Japan	Male	null	null	null
Remu Aaltonen	620313d4-8ff4-4b13-afd6-07d6735103b2	1948/1/10	null/null/null	Person	Finland	Male	null	null	null
Little Walter	5545a012-0977-46ff-9d69-39bf5952616f	1930/5/1	1968/2/15	Person	United States	Male	null	100	1
Kalle Ahola	ecbcbce1-de3d-4e28-91e8-b5314b3702b2	1972/1/24	null/null/null	Person	Finland	Male	null	null	null
Tierney Sutton	618fea28-7d7e-4149-a315-2f0ff593a6b5	1963/6/28	null/null/null	Person	United States	Female	null	null	null
Johan Asherton	ebdbed18-1d12-49e4-8629-0e182332d76f	1958/null/null	null/null/null	Person	France	Male	null	null	null
Marc Copland	13d6e505-6cb4-4617-9e0c-26c109a022b5	1948/5/27	null/null/null	Person	United States	Male	null	null	null
Her Space Holiday	350a221a-b1a2-4480-8697-bef1910b1063	null/null/null	null/null/null	Person	United States	Male	null	80	1
Stephen Hawking	6521b32f-3efb-4662-a0fa-c51f5897581b	1942/1/8	null/null/null	Person	United Kingdom	Male	null	null	null
Kleingeldprinzessin	4735fc42-41d3-402d-9604-3189e0f3c052	1979/9/14	null/null/null	Person	Germany	Female	null	null	null
André Manoukian	805e549d-9c7b-4e51-9565-3e6eeac81ebf	1957/4/9	null/null/null	Person	France	Male	null	null	null
Will Hoge	32e5a1c5-13a8-464b-b3b7-28f36c690b45	1972/11/14	null/null/null	Person	United States	Male	null	null	null
George Benson	467f69b6-8d6d-4d2c-bfad-e89adf2806ff	1943/3/22	null/null/null	Person	United States	Male	jazz guitarist/singer	100	1
Reino Helismaa	ee7d5783-2a2a-453d-b3a4-671b9d0a29a4	1913/7/12	1965/1/21	Person	Finland	Male	null	null	null
Zeynep Dizdar	ae9a794d-88dc-415d-9aa6-404b55dd8839	null/null/null	null/null/null	Person	Turkey	Female	null	null	null
dorlis	0ad69a6c-1896-473b-9290-3524764738eb	1982/2/23	null/null/null	Person	Japan	Female	null	null	null
Hans Nieswandt	79c6acb7-e5be-42cf-943a-fb3d44afad76	null/null/null	null/null/null	Person	Germany	Male	null	null	null
Aisha	b821736e-3bc7-48d4-aeab-792ba438f0ab	1962/null/null	null/null/null	Person	United Kingdom	Female	Pamela Ross	null	null
Helene Fischer	167e1cd2-4a9e-4f34-bcda-2e0acf0a1797	1984/8/5	null/null/null	Person	Germany	Female	null	90	2
Julie Andrews	16bdc7b3-6bfc-4f1c-89ad-d0756af40327	1935/10/1	null/null/null	Person	United Kingdom	Female	English actress/vocalist	null	null
John Coltrane	b625448e-bf4a-41c3-a421-72ad46cdb831	1926/9/23	1967/7/17	Person	United States	Male	null	93	6
James Cotton	35587e3f-c805-4484-8638-8bb9d9006f81	null/null/null	null/null/null	Person	United States	Male	US house/techno artist Tadd Mullinix	null	null
Pigeon John	31824f36-753f-41a2-b191-8b38b7dca273	null/null/null	null/null/null	Person	United States	Male	null	null	null
Caroline Myss	cddb6bb8-2b1f-49c3-9e3f-97be9f037c6b	1952/12/2	null/null/null	Person	United States	Female	null	null	null
The Bongolian	5a5cef97-1bf5-4571-8b70-54e01dd1af98	null/null/null	null/null/null	Person	United Kingdom	Male	null	null	null
François Corbier	626f805a-4f63-4779-adf9-8f186c670f52	1944/10/17	null/null/null	Person	France	Male	null	null	null
Eddie Cantor	0e04e04c-bdfe-4a0e-a311-a2190bd6d72c	1892/1/31	1964/10/10	Person	United States	Male	null	null	null
Emmanuel Jal	0ca5108c-fd3b-4de7-93a0-da7666a39c3e	1980/null/null	null/null/null	Person	Sudan	Male	null	null	null
Mario Biondi	406c77d1-4c07-405b-bb86-4217fa4fc0a4	null/null/null	null/null/null	Person	Italy	Male	null	100	2
Steve Angello	4069600e-55c1-46dd-814f-4166d5b5dbba	1982/null/null	null/null/null	Person	Sweden	Male	null	null	null
Brian	5ab56ee5-059f-4be9-b69b-8ec1563d1e76	null/null/null	null/null/null	Person	Ireland	Male	Irish indie pop artist Ken Sweeney	null	null
Sue Foley	7699f64f-9a90-4291-902e-afeeed3e138f	1968/3/29	null/null/null	Person	Canada	Female	null	60	1
